,시도명,시군명,년도,품목,과수명,구분,재배면적(ha),면적비율,시도별면적순위
0,서울특별시,,2011,전체,감귤,전체,0.0,null,null
1,서울특별시,,2015,전체,감귤,전체,0.0,null,null
2,서울특별시,,2012,전체,감귤,전체,0.0,null,null
3,서울특별시,,2013,전체,감귤,전체,0.0,null,null
4,서울특별시,,2014,전체,감귤,전체,0.0,null,null
5,서울특별시,,2016,전체,감귤,전체,0.0,null,null
6,서울특별시,,2017,전체,감귤,전체,0.0,null,null
7,서울특별시,,2018,전체,감귤,전체,0.0,null,null
8,서울특별시,,2019,전체,감귤,전체,0.0,null,null
9,서울특별시,전체,1987,전체,감귤,전체,0.0,0.0,9
10,서울특별시,전체,1992,전체,감귤,전체,0.0,0.0,7
11,서울특별시,,2020,전체,감귤,전체,0.0,0.0,8
12,서울특별시,전체,1982,전체,감귤,전체,0.0,0.0,12
13,서울특별시,,2021,전체,감귤,전체,0.0,0.0,8
14,서울특별시,전체,2002,전체,감귤,전체,0.0,0.0,6
15,서울특별시,전체,2007,전체,감귤,전체,0.0,0.0,6
16,서울특별시,전체,1997,전체,감귤,전체,0.0,0.0,5
17,부산광역시,,2018,전체,감귤,전체,0.0,null,null
18,부산광역시,전체,1987,전체,감귤,전체,0.0,0.0,9
19,부산광역시,전체,1997,전체,감귤,전체,0.0,0.0,5
20,부산광역시,전체,2007,전체,감귤,전체,0.0,0.0,6
21,부산광역시,전체,2002,전체,감귤,전체,0.0,0.0,6
22,부산광역시,,2021,전체,감귤,전체,0.0,0.0,8
23,부산광역시,전체,1982,전체,감귤,전체,0.0,0.0,12
24,부산광역시,,2011,전체,감귤,전체,0.0,null,null
25,부산광역시,,2015,전체,감귤,전체,5.0,null,null
26,부산광역시,,2012,전체,감귤,전체,0.0,null,null
27,부산광역시,,2013,전체,감귤,전체,0.0,null,null
28,부산광역시,,2014,전체,감귤,전체,0.0,null,null
29,부산광역시,,2016,전체,감귤,전체,0.0,null,null
30,부산광역시,,2017,전체,감귤,전체,1.0,null,null
31,부산광역시,,2019,전체,감귤,전체,0.0,null,null
32,부산광역시,전체,1992,전체,감귤,전체,0.0,0.0,7
33,부산광역시,,2020,전체,감귤,전체,0.0,0.0,8
34,대구광역시,전체,1987,전체,감귤,전체,0.0,0.0,9
35,대구광역시,전체,1992,전체,감귤,전체,0.0,0.0,7
36,대구광역시,,2019,전체,감귤,전체,0.0,null,null
37,대구광역시,,2018,전체,감귤,전체,0.0,null,null
38,대구광역시,,2017,전체,감귤,전체,0.0,null,null
39,대구광역시,,2016,전체,감귤,전체,0.0,null,null
40,대구광역시,,2014,전체,감귤,전체,0.0,null,null
41,대구광역시,,2013,전체,감귤,전체,0.0,null,null
42,대구광역시,,2012,전체,감귤,전체,0.0,null,null
43,대구광역시,,2015,전체,감귤,전체,0.0,null,null
44,대구광역시,,2011,전체,감귤,전체,0.0,null,null
45,대구광역시,전체,1982,전체,감귤,전체,0.5,0.0,7
46,대구광역시,,2021,전체,감귤,전체,0.0,0.0,8
47,대구광역시,전체,2002,전체,감귤,전체,0.0,0.0,6
48,대구광역시,,2020,전체,감귤,전체,0.0,0.0,8
49,대구광역시,전체,2007,전체,감귤,전체,0.0,0.0,6
50,대구광역시,전체,1997,전체,감귤,전체,0.0,0.0,5
51,인천광역시,전체,2002,전체,감귤,전체,0.0,0.0,6
52,인천광역시,,2020,전체,감귤,전체,0.0,0.0,8
53,인천광역시,전체,1992,전체,감귤,전체,0.0,0.0,7
54,인천광역시,,2019,전체,감귤,전체,0.0,null,null
55,인천광역시,,2018,전체,감귤,전체,0.0,null,null
56,인천광역시,,2017,전체,감귤,전체,0.0,null,null
57,인천광역시,,2016,전체,감귤,전체,0.0,null,null
58,인천광역시,,2014,전체,감귤,전체,0.0,null,null
59,인천광역시,,2013,전체,감귤,전체,0.0,null,null
60,인천광역시,,2012,전체,감귤,전체,0.0,null,null
61,인천광역시,,2015,전체,감귤,전체,0.0,null,null
62,인천광역시,,2011,전체,감귤,전체,0.0,null,null
63,인천광역시,전체,1982,전체,감귤,전체,0.0,0.0,12
